"ID","INCI","CAS","WE","ANNEX","COSING REF. NO."
"8516","DIETHYLENE GLYCOL DIBENZOATE","120-55-8","204-407-6",,"75711"
"8517","DIETHYLENE GLYCOL DIETHYLHEXANOATE/DIISONONANOATE","-","-",,"75712"
"8518","DIETHYLENE GLYCOL DIISONONANOATE","190282-37-2","-",,"75713"
"8519","DIETHYLENE GLYCOL DIMETHACRYLATE","2358-84-1","219-099-9",,"87160"
"8520","DIETHYLENE GLYCOL ROSINATE","68153-38-8","268-884-2",,"55843"
"8521","DIETHYLENE GLYCOL/DIMER DILINOLEIC ACID COPOLYMER","-","-",,"83114"
"8522","DIETHYLENE GLYCOL/DMAP ACRYLAMIDE/PEG-180/HDI COPOLYMER","-","-",,"55844"
"8523","DIETHYLENE GLYCOL/HYDROGENATED DIMER DILINOLEIC ACID COPOLYMER","156064-93-6","-",,"88991"
"8524","DIETHYLENE GLYCOL/PROPYLENE GLYCOL/DIPROPYLENE GLYCOL DIBENZOATE","-","-",,"93543"
"8525","DIETHYLENE GLYCOLAMINE/EPICHLOROHYDRIN/PIPERAZINE COPOLYMER","-","-",,"75714"
"8526","DIETHYLENE TRICASEINAMIDE","-","-",,"75715"
"8527","DIETHYLENETRIAMINE","111-40-0","203-865-4",,"95932"
"8528","DIETHYLENETRIAMINE PENTAMETHYLENE PHOSPHONIC ACID","15827-60-8","239-931-4",,"33299"
"8529","DIETHYLHEPTADIENAL","85136-07-8","285-729-4",,"39537"
"8530","DIETHYLHEXYL 2,6-NAPHTHALATE","-","-",,"55845"
"8531","DIETHYLHEXYL ADIPATE","103-23-1","203-090-1",,"75717"
"8532","DIETHYLHEXYL BUTAMIDO TRIAZONE","154702-15-5","-","VI/17","33301"
"8533","DIETHYLHEXYL CARBONATE","14858-73-2","238-925-9",,"55846"
"8534","DIETHYLHEXYL DIMER DILINOLEATE","-","-",,"75719"
"8535","DIETHYLHEXYL FUMARATE","141-02-6 / 128111-61-5","205-448-2 /",,"55847"
"8536","DIETHYLHEXYL IPDI","185568-15-4","-",,"55848"
"8537","DIETHYLHEXYL ISOEICOSANEDIOATE","-","-",,"95235"
"8538","DIETHYLHEXYL MALATE","56235-92-8","260-070-5",,"75720"
"8539","DIETHYLHEXYL MALEATE","142-16-5","205-524-5",,"33304"
"8540","DIETHYLHEXYL PHTHALATE","117-81-7","204-211-0",,"84561"
"8541","DIETHYLHEXYL SEBACATE","122-62-3","204-558-8",,"75722"
"8542","DIETHYLHEXYL SODIUM SULFOSUCCINATE","577-11-7","209-406-4",,"75723"
"8543","DIETHYLHEXYL SUCCINATE","2915-57-3","220-836-1",,"75724"
"8544","DIETHYLHEXYL SYRINGYLIDENEMALONATE","444811-29-4","-",,"55849"
"8545","DIETHYLHEXYL TEREPHTHALATE","6422-86-2","229-176-9",,"82611"
"8546","DIETHYLHEXYLAMINE","106-20-7","203-372-4",,"84560"
"8547","DIETHYLHEXYLCYCLOHEXANE","84753-08-2 / 100182-46-5","283-854-9",,"75725"
"8548","DIETHYLKETONE","96-22-0","202-490-3",,"39538"
"8549","DIETHYLLUTIDINATE","41438-38-4","-",,"88115"
"8550","DIETHYLPENTANEDIOL DINEOPENTANOATE","-","-",,"55850"
"8551","DIETHYLPYRAZOLIDINEDIONE","-","-",,
"8552","DIETHYLQUINOLINE","68228-10-4","269-406-5",,"39543"
"8553","DIFLUOROCYCLOHEXYLOXYPHENOL","2001566-55-6","-",,"96890"
"8554","DIFLUOROPHENYL PROPYLCYCLOPENTENE OXIME","-","-",,"86790"
"8555","DIGALACTOSYL GLYCERYL LINOLEATE/PALMITATE/OLEATE","-","-",,"55851"
"8556","DIGALLOYL LYSYL SH-HEXAPEPTIDE-4","-","-",,
"8557","DIGALLOYL TETRAPEPTIDE-19","-","-",,"85464"
"8558","DIGALLOYL TRIOLEATE","17048-39-4 / 27436-80-2","-",,"75726"
"8559","DIGENEA SIMPLEX EXTRACT","90027-98-8","289-785-0",,"33311"
"8560","DIGITARIA CILIARIS FLOWER EXTRACT","-","-",,"98538"
"8561","DIGLUCOSYL GALLIC ACID","-","-",,"55852"
"8562","DIGLYCERETH-7 MALATE","-","-",,"55853"
"8563","DIGLYCERIN","59113-36-9 / 25618-55-7","261-605-5 / *607-759-2",,"75728"
"8564","DIGLYCERIN/DILINOLEIC ACID/HYDROXYSTEARIC ACID COPOLYMER","-","-",,"83550"
"8565","DIGLYCERYL ADIPATE/CAPRATE/CAPRYLATE/HYDROXYSTEARATE/ISOSTEARATE/STEARATE","130905-60-1","-",,"55854"
"8566","DIGLYCERYL SEBACATE/ISOPALMITATE","-","-",,"55855"
"8567","DIGLYCERYL SORBITAN TETRAETHYLHEXANOATE","-","-",,"55856"
"8568","DI-GLYCERYL STEARATE DIMER DILINOLEATE","-","-",,"55857"
"8569","DIGLYCERYL STEARATE MALATE","-","-",,"75729"
"8570","DIGLYCOL ETHYLHEXYL ETHER","26468-86-0","-",,"97084"
"8571","DIGLYCOL GUANIDINE SUCCINATE","176370-26-6","-",,"55858"
"8572","DIGLYCOL/ISOPHTHALATES/SIP COPOLYMER","240818-59-1","-",,"33315"
"8573","DIGLYCOSYL HEXAPEPTIDE-2","-","-",,"87505"
"8574","DI-HEA TRIMETHYLHEXYL DICARBAMATE","83003-92-3","-",,"94242"
"8575","DI-HEMA TRIMETHYLHEXYL DICARBAMATE","41137-60-4 / 72869-86-4","- / 276-957-5","III/314","55729"
"8576","DIHEPTYL SODIUM SULFOSUCCINATE","4680-44-8","225-131-2",,"33316"
"8577","DIHEPTYL SUCCINATE","15872-89-6","-",,"89621"
"8578","DIHEPTYLUNDECYL ADIPATE","155613-91-5","-",,"55730"
"8579","DIHEXYL ADIPATE","110-33-8","203-757-7",,"75534"
"8580","DIHEXYL FUMARATE","19139-31-2","242-833-4",,"39544"
"8581","DIHEXYL ISOEICOSANEDIOATE","1917308-70-3","-",,"95234"
"8582","DIHEXYL SODIUM SULFOSUCCINATE","6001-97-4","227-847-0",,"75535"
"8583","DIHEXYLDECYL ADIPATE","-","-",,"55731"
"8584","DIHEXYLDECYL IPDI","185529-24-2","-",,"55732"
"8585","DIHEXYLDECYL LAUROYL GLUTAMATE","172944-28-4","-",,"33319"
"8586","DIHEXYLDECYL SEBACATE","359073-59-9","-",,"55733"
"8587","DIHEXYLOXY CYCLOHEXANE","-","-",,"83918"
"8588","DIHYDRO PENTAMETHYLINDANONE","33704-61-9","251-649-3",,"55734"
"8589","DIHYDRO-4-METHYL-5-METHYLBUTYL-FURANONE","5561-08-0","226-935-6",,"39564"
"8590","DIHYDRO-4-METHYL-5-PENTYLFURANONE","33673-62-0","251-629-4",,"39569"
"8591","DIHYDROABIETYL BEHENATE","-","-",,"33320"
"8592","DIHYDROABIETYL METHACRYLATE","-","-",,"33321"
"8593","DIHYDRO-ALPHA-IONONE","31499-72-6","250-657-4",,"41432"
"8594","DIHYDRO-ALPHA-METHYL ALPHA-IONONE","68480-17-1","270-894-7",,"41433"
